root	clade_name	counts
4	Clavicipitaceae	3
5	Ophiocordycipitaceae	1
6	Cordycipitaceae	2
7	Nectriaceae	6
8	Glomerellales	8
9	Sordariomycetidae	15
10	Xylariomycetidae	2
11	Leotiomycetes	6
12	Eurotiomycetes	35; 1
13	dothideomyceta	16
14	Pezizomycetes	2
15	Orbiliomycetes	2
16	Saccharomycotina	33
17	Taphrinomycotina	7
18	Basidiomycota	30
19	Mucoromycota	1
20	Chytridiomycota	2
21	Blastocladiomycota	1
22	Metazoa	161; 3; 2; 1; 1; 1
23	Amoebozoa	4
24	Viridiplantae	75
25	Discoba	6; 1; 1
26	Rhodophyta	2
27	Sar	38; 1; 1; 1
28	Metamonada	1
