root	clade_name	counts	reason
3	Dinosauria	6	
4	Testudinata	3	
5	Lepidosauria	2	
6	Mammalia	70	
7	Amphibia	1	
8	Coelacanthimorpha	1	
9	Actinopterygii	19	
10	Tunicata	2	
11	Cephalochordata	1	
12	Ambulacraria	1; 1	custom rule
13	Ecdysozoa	43; 2	majority of species
14	Spiralia	2	
15	Cnidaria	2	
16	Ctenophora	1	
17	Placozoa	1	
18	Porifera	1	
19	Uncertain: Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)	2; 1; 1; 1	uncertain
20	Fungi	179	
21	Amoebozoa	4	
22	Viridiplantae	75	
23	Discoba	6; 1; 1	normalized entropy < 0.7
24	Rhodophyta	2	
25	Sar	38; 1; 1; 1	normalized entropy < 0.7
26	Metamonada	1	
