root	clade_name
1	Lachancea
2	Uncertain: Eremothecium (2); Kluyveromyces (1)
3	Uncertain: Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Torulaspora (1); Vanderwaltozyma (1); Zygosaccharomyces (1)
4	Uncertain: Pichiomycetes (1)
5	Pichiomycetes
6	Pezizomycotina
7	Taphrinomycotina
8	Basidiomycota
9	Mucoromycota
10	Chytridiomycota
11	Blastocladiomycota
12	Metazoa
13	Amoebozoa
14	Viridiplantae
15	Discoba
16	Rhodophyta
17	Sar
18	Metamonada
